ClienteID,Nombre,Apellido,Correo,Telefono,FechaRegistro
1,Jennifer,Vasquez,castroandrew@example.net,(389)566-0107x610,2023-02-02
2,William,Terry,morrisonkelly@example.net,+1-696-234-4963x32909,2024-08-08
3,Jacob,Berg,coxbrian@example.com,+1-663-203-0771x40051,2022-07-27
4,Ellen,Soto,bobby36@example.net,8174902227,2023-10-01
5,Aaron,Wilson,kleinkathy@example.net,420-807-8988,2022-10-21
6,Benjamin,Morris,stevenwilliams@example.net,001-962-699-7684,2024-04-20
7,Jesse,Jones,terrywarner@example.org,(515)666-6099x6279,2022-03-09
8,Robert,Jordan,bennettderek@example.org,(642)410-9016x7436,2022-02-04
9,Andrea,Fisher,omahoney@example.net,626.826.6298,2024-10-03
10,Anthony,Jenkins,thomasbishop@example.net,982.269.0611,2023-06-29
